Index,Species,Magnorder,Superorder ,Order,Family,65 species Dataset,228 Species Dataset,Average Per Aln Missingness Post Filtering for Sliding Windows analysis
57,Propithecus_coquereli,Boreoeutheria,Euarchontoglires,Primates,Indriidae,TRUE,TRUE,13.8
58,Eulemur flavifrons,Boreoeutheria,Euarchontoglires,Primates,Lemuridae,FALSE,TRUE,11.4
59,Eulemur fulvus,Boreoeutheria,Euarchontoglires,Primates,Lemuridae,FALSE,TRUE,10.1
60,Lemur catta,Boreoeutheria,Euarchontoglires,Primates,Lemuridae,FALSE,TRUE,10.8
61,Nycticebus coucang,Boreoeutheria,Euarchontoglires,Primates,Lorisidae,FALSE,TRUE,18.6
62,Callicebus_donacophilus,Boreoeutheria,Euarchontoglires,Primates,Pitheciidae,TRUE,TRUE,6.6
63,Pithecia pithecia,Boreoeutheria,Euarchontoglires,Primates,Pitheciidae,FALSE,TRUE,6.0
64,Aplodontia rufa,Boreoeutheria,Euarchontoglires,Rodentia,Aplodontiidae,FALSE,TRUE,23.9
65,Fukomys damarensis,Boreoeutheria,Euarchontoglires,Rodentia,Bathyergidae,FALSE,TRUE,30.4
66,Heterocephalus glaber,Boreoeutheria,Euarchontoglires,Rodentia,Bathyergidae,FALSE,TRUE,28.3
67,Capromys pilorides,Boreoeutheria,Euarchontoglires,Rodentia,Capromyidae,FALSE,TRUE,36.7
68,Castor_canadensis,Boreoeutheria,Euarchontoglires,Rodentia,Castoridae,TRUE,TRUE,23.9
69,Cavia aperea,Boreoeutheria,Euarchontoglires,Rodentia,Caviidae,FALSE,FALSE,
70,Cavia porcellus,Boreoeutheria,Euarchontoglires,Rodentia,Caviidae,FALSE,TRUE,29.9
71,Cavia tschudii,Boreoeutheria,Euarchontoglires,Rodentia,Caviidae,FALSE,TRUE,28.9
72,Dolichotis patagonum,Boreoeutheria,Euarchontoglires,Rodentia,Caviidae,FALSE,TRUE,29.0
73,Hydrochoerus hydrochaeris,Boreoeutheria,Euarchontoglires,Rodentia,Caviidae,FALSE,TRUE,28.9
74,Chinchilla lanigera,Boreoeutheria,Euarchontoglires,Rodentia,Chinchillidae,FALSE,TRUE,26.1
75,Cricetulus griseus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,40.5
76,Ellobius lutescens,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,42.7
77,Ellobius talpinus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,40.7
78,Mesocricetus auratus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,43.3
79,Microtus ochrogaster,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,41.3
80,Ondatra zibethicus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,39.9
81,Onychomys torridus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,38.4
82,Peromyscus maniculatus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,37.3
83,Sigmodon hispidus,Boreoeutheria,Euarchontoglires,Rodentia,Cricetidae,FALSE,TRUE,41.2
84,Ctenodactylus gundi,Boreoeutheria,Euarchontoglires,Rodentia,Ctenodactylidae,FALSE,TRUE,27.9
85,Ctenomys sociabilis,Boreoeutheria,Euarchontoglires,Rodentia,Ctenomyidae,FALSE,TRUE,31.6
86,Cuniculus paca,Boreoeutheria,Euarchontoglires,Rodentia,Cuniculidae,FALSE,TRUE,34.9
87,Dasyprocta punctata,Boreoeutheria,Euarchontoglires,Rodentia,Dasyproctidae,FALSE,TRUE,26.3
88,Dinomys branickii,Boreoeutheria,Euarchontoglires,Rodentia,Dinomyidae,FALSE,TRUE,27.7
89,Allactaga bullata,Boreoeutheria,Euarchontoglires,Rodentia,Dipodidae,FALSE,TRUE,38.6
90,Jaculus_jaculus,Boreoeutheria,Euarchontoglires,Rodentia,Dipodidae,TRUE,TRUE,40.0
91,Zapus hudsonius,Boreoeutheria,Euarchontoglires,Rodentia,Dipodidae,FALSE,FALSE,
92,Glis_glis,Boreoeutheria,Euarchontoglires,Rodentia,Gliridae,TRUE,TRUE,26.0
93,Graphiurus murinus,Boreoeutheria,Euarchontoglires,Rodentia,Gliridae,FALSE,TRUE,27.7
