model	gram	alpha	is_BM	is_OU	sigma2	theta	t_half
moving_optimum	Chrono	17.801340398605078	0.2561487702459508	0.7438512297540492	390115.03723255347	33.337589085298944	inf
moving_optimum	Chrono	8.010371287014598	0.4969006198760248	0.5030993801239753	329848.2364127175	16.333708558912218	inf
moving_optimum	Chrono	26.16147857704059	0.1297740451909618	0.8702259548090382	507164.7040191962	-40.01352929256348	inf
moving_optimum	Chrono	12.355762012653468	0.33613277344531095	0.6638672265546891	395045.4057588482	-1.6932452338537092	inf
moving_optimum	Chrono	3.5262949012791442	0.6640671865626875	0.3359328134373125	552158.9866826634	-48.29672547518696	inf
moving_optimum	Chrono	8.096730904182165	0.48110377924415115	0.5188962207558488	475311.48968206363	48.42750625173565	inf
moving_optimum	Chrono	9.90046189570286	0.42231553689262147	0.5776844631073785	424758.1608878224	-59.13584415975005	inf
moving_optimum	Chrono	2.3625976136908617	0.7250549890021996	0.27494501099780044	500574.89558088384	13.350069722229554	inf
moving_optimum	Chrono	3.091682473671266	0.6874625074985004	0.3125374925014997	357553.59642071585	-23.592686206725396	inf
moving_optimum	Chrono	13.501412794927013	0.34093181363727254	0.6590681863627275	467071.50921815634	3.346668952328734	inf
moving_optimum	Chrono	5.729384474141171	0.5794841031793642	0.4205158968206359	322880.4070585883	47.584788572439514	inf
moving_optimum	Chrono	1.4985705730013996	0.7810437912417516	0.21895620875824834	347256.8582483503	-26.589810147281746	inf
moving_optimum	Chrono	7.397615011764247	0.5110977804439112	0.48890221955608876	323973.0036192761	-45.303671268757874	inf
moving_optimum	Chrono	12.311500953967208	0.3623275344931014	0.6376724655068986	473374.4464307138	-15.633000905984801	inf
moving_optimum	Chrono	0.994342169429914	0.8254349130173965	0.17456508698260348	458059.47716456704	-56.69219482383724	inf
moving_optimum	Chrono	4.307816500657869	0.6110777844431113	0.3889222155568886	388488.72289542085	-30.857065416234754	inf
moving_optimum	Chrono	13.30701114140172	0.34273145370925817	0.6572685462907418	534487.8733453309	-4.841235888932213	inf
moving_optimum	Chrono	0.9586487067546492	0.8280343931213757	0.17196560687862428	382769.66038792237	-1.9163989148530298	inf
moving_optimum	Chrono	9.51560527119576	0.44831033793241354	0.5516896620675865	480452.777204559	36.520661617856426	inf
moving_optimum	Chrono	1.7958162967326532	0.7640471905618876	0.23595280943811237	361493.34657068586	43.657891248184	inf
moving_optimum	Chrono	5.0579891731035795	0.6052789442111578	0.39472105578884226	343642.34391121776	53.49181020860228	inf
moving_optimum	Chrono	1.9733960782587283	0.7558488302339532	0.24415116976604678	437987.0706658668	-10.5548148994939	inf
moving_optimum	Chrono	5.743643531113177	0.562887422515497	0.4371125774845031	455312.71363727254	-52.54047405939012	inf
moving_optimum	Chrono	2.4558600846070786	0.7110577884423115	0.28894221155768846	334831.7278344331	-23.996369931829435	inf
moving_optimum	Chrono	0.7437890204139173	0.8448310337932413	0.15516896620675866	370739.86918616283	18.167779661021395	inf
moving_optimum	Phylo	28.115451962925412	0.04579084183163367	0.9542091581683664	492570.7619476105	43.0123410789922	inf
moving_optimum	Phylo	26.76092717063787	0.05138972205558888	0.9486102779444111	491107.10213957203	25.53693656169928	inf
moving_optimum	Phylo	33.5167162844831	0.04279144171165767	0.9572085582883423	655182.025154969	-70.98391679174165	inf
moving_optimum	Phylo	15.076156926206759	0.16756648670265947	0.8324335132973405	504432.02785442915	-28.06689020176293	inf
moving_optimum	Phylo	7.238714596343332	0.3869226154769046	0.6130773845230953	712151.3149370126	-42.52046846152569	inf
moving_optimum	Phylo	11.746711868370324	0.2533493301339732	0.7466506698660268	631481.2783843231	60.771514943527286	inf
moving_optimum	Phylo	21.648317876784645	0.09138172365526895	0.908618276344731	619622.0311537692	-65.77795974419716	inf
moving_optimum	Phylo	11.211785066433574	0.29934013197360526	0.7006598680263947	688129.8864027194	18.64493831878624	inf
moving_optimum	Phylo	20.525167113763246	0.10817836432713457	0.8918216356728654	568340.5158168366	-13.279036030345932	inf
moving_optimum	Phylo	25.754117966646668	0.04619076184763048	0.9538092381523695	717816.851429714	12.78423621139852	inf
moving_optimum	Phylo	41.57206482387523	0.014597080583883223	0.9854029194161168	541956.9570285943	43.68716318471106	inf
moving_optimum	Phylo	6.771715425345532	0.40071985602879423	0.5992801439712058	489614.1783043391	8.669641392094181	inf
moving_optimum	Phylo	25.46482018845031	0.054789042191561686	0.9452109578084383	496786.23743251344	-56.88013521656469	inf
moving_optimum	Phylo	17.9691720925115	0.14217156568686262	0.8578284343131374	600190.9542691462	-7.19496689744843	inf
moving_optimum	Phylo	7.607308312381524	0.36012797440511896	0.639872025594881	636411.9008998199	-58.09849956058788	inf
moving_optimum	Phylo	9.163760381969405	0.3143371325734853	0.6856628674265147	522474.450729854	-49.383594245438914	inf
moving_optimum	Phylo	24.988291425360927	0.08578284343131373	0.9142171565686863	678998.0445710858	3.271925242306139	inf
moving_optimum	Phylo	7.0592541062623475	0.380123975204959	0.619876024795041	572426.951429714	20.70044996361128	inf
moving_optimum	Phylo	23.600229541305737	0.0647870425914817	0.9352129574085183	674785.148090382	43.2924534270206	inf
moving_optimum	Phylo	6.957157497055988	0.3853229354129174	0.6146770645870826	507517.6414317137	67.68203591571687	inf
moving_optimum	Phylo	18.442491681201762	0.15736852629474105	0.8426314737052589	494347.76846630673	57.326734795654865	inf
moving_optimum	Phylo	15.792677534903621	0.1879624075184963	0.8120375924815036	684971.1059588082	-27.533445933978708	inf
moving_optimum	Phylo	12.921024162807438	0.23375324935012998	0.76624675064987	577219.7358728254	-59.76041893152629	inf
